setting,scope,writable,description
accel,axis,yes,Sets the acceleration used to modify the speed.
cloop.counts,axis,yes,The number of counts generated by the encoder for one full revolution.
cloop.mode,axis,yes,Sets the closed loop control mode.
cloop.stalltimeout,axis,yes,"The amount of time to wait after a stall/displacement condition,in milliseconds."
cloop.steps,axis,yes,The number of full steps required for the motor to complete one revolution.
comm.address,device,yes,The device address.
comm.alert,device,yes,The device will send alert messages when this setting is 1.
comm.checksum,device,yes,The device includes checksums in its messages if this setting is set to 1.
comm.protocol,device,yes,The communications protocol used by the device on the current interface.
comm.rs232.baud,device,yes,The baud rate used by RS232 Prev and Next interfaces.
comm.rs232.protocol,device,yes,The protocol used by RS232 Prev and Next interfaces.
comm.rs485.baud,device,yes,The baud rate used by RS485 interface.
comm.rs485.enable,device,yes,Enables the RS485 interface.
comm.rs485.protocol,device,yes,The protocol used by RS485 interface.
comm.usb.protocol,device,yes,The protocol used by the usb interface.
deviceid,device,no,The device id for the unit.
driver.current.hold,axis,yes,"Current used to hold the motor in position,as a percentage of maximum."
driver.current.run,axis,yes,Current used to drive the motor as percentage of maximum.
driver.dir,axis,yes,Reverse the motor driver output direction.
driver.temperature,axis,no,"The current temperature of the axis driver,in degrees Celsius."
encoder.count,axis,yes,The recorded counts of the axis encoder.
encoder.dir,axis,yes,Inverts the counting direction for the axis encoder.
encoder.filter,axis,yes,Enable and set up digital filtering of the encoder inputs.
encoder.index.count,axis,yes,The recorded counts of the axis encoder index pulse.
encoder.index.mode,axis,yes,The operating mode of the axis encoder index signal.
encoder.index.phase,axis,yes,The required phase for an index pulse to be counted.
encoder.mode,axis,yes,The operating mode of the axis encoder.
knob.dir,axis,yes,Sets the movement direction for the knob.
knob.distance,axis,yes,"Sets how far the device moves with each step of the knob in displacement mode,in units of microsteps."
knob.enable,axis,yes,disable the use of the knob when set to 0.
knob.maxspeed,axis,yes,The maximum speed that can be reached using the knob in velocity mode.
knob.mode,axis,yes,"Sets the mode of the knob. 0 for velocity mode,1 for displacement mode."
knob.speedprofile,axis,yes,Sets the profile to be used per increment when in velocity mode.
limit.approach.accel,axis,yes,acceleration used when approaching a limit sensor.
limit.approach.maxspeed,axis,yes,Maximum speed used when approaching a limit sensor.
limit.detect.decelonly,axis,yes,deceleration used when stopping after a limit sensor has triggered.
limit.detect.maxspeed,axis,yes,Maximum speed used when moving away from a limit sensor.
limit.swapinputs,axis,yes,Reverses the limit positions by swapping the home and away sensors.
limit.home.action,axis,yes,Automatic limit switch action.
limit.home.edge,axis,yes,Sensor edge to align action to.
limit.home.posupdate,axis,yes,Position update to occur when sensor is triggered.
limit.home.preset,axis,yes,The default position of the home sensor.
limit.home.state,axis,no,The state of the home sensor.
limit.home.triggered,axis,no,Whether the home sensor has been triggered previously.
limit.home.type,axis,yes,The type of home sensor connected.
limit.away.action,axis,yes,Automatic limit switch action.
limit.away.edge,axis,yes,Sensor edge to align action to.
limit.away.posupdate,axis,yes,Position update to occur when sensor is triggered.
limit.away.preset,axis,yes,The default position of the away sensor.
limit.away.state,axis,no,The state of the home sensor.
limit.away.triggered,axis,no,Whether the away sensor has been triggered previously.
limit.away.type,axis,yes,The type of away sensor connected.
limit.c.action,axis,yes,Automatic limit switch action.
limit.c.edge,axis,yes,Sensor edge to align action to.
limit.c.pos,axis,yes,"The updated position of the sensor,when triggered."
limit.c.posupdate,axis,yes,Position update to occur when sensor is triggered.
limit.c.preset,axis,yes,The default position of the c limit sensor.
limit.c.state,axis,no,The state of the c limit sensor.
limit.c.triggered,axis,no,Whether the c limit sensor has been triggered previously.
limit.c.type,axis,yes,The type of c limit sensor connected.
limit.d.action,axis,yes,Automatic limit switch action.
limit.d.edge,axis,yes,Sensor edge to align action to.
limit.d.pos,axis,yes,"The updated position of the sensor,when triggered."
limit.d.posupdate,axis,yes,Position update to occur when sensor is triggered.
limit.d.preset,axis,yes,The default position of the d limit sensor.
limit.d.state,axis,no,The state of the d limit sensor.
limit.d.triggered,axis,no,Whether the d limit sensor has been triggered previously.
limit.d.type,axis,yes,The type of d limit sensor connected.
limit.max,axis,yes,"The maximum position the device can move to,measured in microsteps."
limit.min,axis,yes,"The minimum position the device can move to,measured in microsteps."
maxspeed,axis,yes,The maximum speed the device moves at.
motion.accelonly,axis,yes,Sets the acceleration used to increase the speed.
motion.decelonly,axis,yes,Sets the deceleration used when decreasing the speed.
peripheralid,axis,yes,The id of the connected peripheral.
pos,axis,yes,The current absolute position of the device.
resolution,axis,yes,Microstep resolution
system.access,device,yes,Sets the access level of the user.
system.axiscount,device,no,The number of axes in the device.
system.current,device,no,The current being drawn by the device and motors.
system.led.enable,device,yes,Enables the front panel LEDs.
system.temperature,device,no,"The current temperature of the unit,in degrees Celsius."
system.voltage,device,no,The voltage being applied to the device.
version,device,no,The firmware version of the device.
